timestamp,username,text,url,images,likes,replies,retweets,quotes,verified,daily,is_weekday,year,cleaned_tweet,tweet_polarity_score,polarity_label
2020-12-30T17:33:00.000Z,@potheadlongtime,Bud rot ?😎,https://twitter.com/potheadlongtime/status/1344335873509359621,,1,1,0,0,False,2020-12-30,weekday,2020,Bud rot 😎,0.4588,Positive
2020-12-26T07:42:00.000Z,@ITS_HAWKIN,Ya flex packed full of bud rot,https://twitter.com/ITS_HAWKIN/status/1342737469603627008,,0,0,0,0,False,2020-12-26,weekend,2020,Ya flex packed full of bud rot,0.0,Neutral
2020-12-24T11:09:00.000Z,@JobeAustin1,"As well as tomatoes, cukes, onions and carrots I suppose. Like most people, I can’t be bothered. I buy the produce at the store. I know a guy who grows his own weed. He cuts out the bud rot. He’s fine with it.",https://twitter.com/JobeAustin1/status/1342064753343164417,,0,0,0,0,False,2020-12-24,weekday,2020,"As well as tomatoes, cukes, onions and carrots I suppose. Like most people, I can’t be bothered. I buy the produce at the store. I know a guy who grows his own weed. He cuts out the bud rot. He’s fine with it.",0.2263,Positive
2020-12-22T22:52:00.000Z,@aagw,any bud rot?/issues?,https://twitter.com/aagw/status/1341516981321703424,,0,0,0,0,False,2020-12-22,weekday,2020,any bud rotissues,0.0,Neutral
2020-12-17T23:49:00.000Z,@not_nick_diaz,Looks like bud rot.Throw it away.,https://twitter.com/not_nick_diaz/status/1339719319731785731,,0,0,0,0,False,2020-12-17,weekday,2020,Looks like bud rot.Throw it away.,0.3612,Positive
2020-12-17T16:01:00.000Z,@JashuaPuckett,That’s bud rot.... was bagged moist or w rot,https://twitter.com/JashuaPuckett/status/1339601638105878529,,0,0,0,0,False,2020-12-17,weekday,2020,That’s bud rot.... was bagged moist or w rot,0.0,Neutral
2020-12-17T14:34:00.000Z,@MindOcd,"It's the management at the facility that needs to go. Their mismanagement of funds and sending out crap ( full of mold, bud rot and powder mildew ) products. They don't cure anything and use Monsanto fertilizers as food. 

#BoycottAurora",https://twitter.com/MindOcd/status/1339579618093748235,,4,0,0,0,False,2020-12-17,weekday,2020,"It's the management at the facility that needs to go. Their mismanagement of funds and sending out crap  full of mold, bud rot and powder mildew  products. They don't cure anything and use Monsanto fertilizers as food. BoycottAurora",-0.3818,Negative
2020-12-17T11:05:00.000Z,@MindOcd,"@Aurora_MMJ you are the shittiest cannabis company. Your product is shit all full of bud rot and mold. You have employees going threw it for seeds. Good job being a shitty company. 
#BoycottAurora",https://twitter.com/MindOcd/status/1339527214933504001,,0,0,0,0,False,2020-12-17,weekday,2020,you are the shittiest cannabis company. Your product is shit all full of bud rot and mold. You have employees going threw it for seeds. Good job being a shitty company. BoycottAurora,-0.8658,Negative
2020-12-17T11:02:00.000Z,@MindOcd,"@aurora_invest  don't invest in this company. Its garbage. Moldy, full of bud rot product. 
#BoycottAurora",https://twitter.com/MindOcd/status/1339526476467564544,,0,0,0,0,False,2020-12-17,weekday,2020,"don't invest in this company. Its garbage. Moldy, full of bud rot product. BoycottAurora",0.0,Neutral
2020-12-16T21:43:00.000Z,@BettingBruiser,LMAO ... BNN post a picture of the $APHA $TLRY story ... clearly moldly bud rot ... I guess they couldn’t find a picture of a $TLRY $APHA grow op without it! 🤢 🤮 #PotStocks,https://twitter.com/BettingBruiser/status/1339325257094746113,https://pbs.twimg.com/media/EpY9OLGXEAEg2Nz.jpg,71,8,3,1,True,2020-12-16,weekday,2020,LMAO ... BNN post a picture of the APHA TLRY story ... clearly moldly bud rot ... I guess they couldn’t find a picture of a TLRY APHA grow op without it! 🤢 🤮 PotStocks,0.8236,Positive
2020-12-15T19:24:00.000Z,@corey_frazer,Your flex pack full of bud rot,https://twitter.com/corey_frazer/status/1338927876272427009,,0,0,0,0,False,2020-12-15,weekday,2020,Your flex pack full of bud rot,0.0,Neutral
2020-12-15T15:44:00.000Z,@SmalCvnt,"Sad
Nut 
Sad
Not
Sud
Not
Sud 
Rot
Bud 
Rot
Bud
Pot
Buy
Pot",https://twitter.com/SmalCvnt/status/1338872507919634442,,1,0,0,0,False,2020-12-15,weekday,2020,SadNut SadNotSudNotSud RotBud RotBudPotBuyPot,0.0,Neutral
2020-12-15T11:45:00.000Z,@patiggr,Senator John Thune of S Dakota....he said it's time to move on and accept but never congratulated Biden....too little too late bud...rot with the rest of the GOP!,https://twitter.com/patiggr/status/1338812501304225797,,0,0,0,0,False,2020-12-15,weekday,2020,Senator John Thune of S Dakota....he said it's time to move on and accept but never congratulated Biden....too little too late bud...rot with the rest of the GOP!,0.2714,Positive
2020-12-14T12:20:00.000Z,@CincinnatiMike0,Im gonna do a barneys outdoor auto run.Which auto strain is the highest yielding highest thc that is resistant to bud rot mold and mites?,https://twitter.com/CincinnatiMike0/status/1338458718208479237,,0,0,0,0,False,2020-12-14,weekday,2020,Im gonna do a barneys outdoor auto run.Which auto strain is the highest yielding highest thc that is resistant to bud rot mold and mites,-0.0516,Negative
2020-12-13T22:54:00.000Z,@dudemanguybreh,Trying a treatment for bud rot on some of our chonkier strains and they did not like it at all and threw out pollen sacks.,https://twitter.com/dudemanguybreh/status/1338255932996939776,,0,1,0,0,False,2020-12-13,weekend,2020,Trying a treatment for bud rot on some of our chonkier strains and they did not like it at all and threw out pollen sacks.,-0.5122,Negative
2020-12-09T02:59:00.000Z,@nuTTTz_,"I have one safe go to, Deep Purple.

Well semi safe. The super dense buds can be prone to late season bud rot.
But it's so close to finish by then its worth picking the nasty bits as they appear.
Never lost more than 5/10% so still well worth it.  😎",https://twitter.com/nuTTTz_/status/1336505809942016001,,0,0,0,0,False,2020-12-09,weekday,2020,"I have one safe go to, Deep Purple.Well semi safe. The super dense buds can be prone to late season bud rot.But it's so close to finish by then its worth picking the nasty bits as they appear.Never lost more than  so still well worth it.  😎",0.9051,Positive
2020-12-07T20:37:00.000Z,@TheFLweed,"Psa:
Check for moldy weed. Mold can make you sick & cause lung infections. Mold can be powdery or cobweb like. Bud rot is brown discoloration usually with weakened stems. Break open those nugs before you puff. Your lungs will thank you.👇✌ #CannabisCommunity",https://twitter.com/TheFLweed/status/1336047156982132739,https://pbs.twimg.com/media/EoqXzI_XUAIIij9.jpg,15,3,4,1,False,2020-12-07,weekday,2020,Psa:Check for moldy weed. Mold can make you sick  cause lung infections. Mold can be powdery or cobweb like. Bud rot is brown discoloration usually with weakened stems. Break open those nugs before you puff. Your lungs will thank you.👇✌ CannabisCommunity,0.3818,Positive
2019-09-25T16:54:00.000Z,@Toronto6ix_D,I wonder if WeedMD will make any money off these monster sized buds? 🤔😉 Some strains looking to yield 3 to 4 pounds per plant. Yes you read that right. Pounds. This is $WMD 's year to shine and make some big bank. 🔥🥇 🚀,https://twitter.com/Toronto6ix_D/status/1176902684558942209,https://pbs.twimg.com/media/EFUyvrsWwAAVo2s.jpg,46,9,8,2,False,2019-09-25,weekday,2019,I wonder if WeedMD will make any money off these monster sized buds 🤔😉 Some strains looking to yield  to  pounds per plant. Yes you read that right. Pounds. This is WMD 's year to shine and make some big bank. 🔥🥇 🚀,0.296,Positive
2019-09-27T13:45:00.000Z,@Toronto6ix_D,"1/2 I read this information on the WeedMD shareholders group page on facebook. This reference came from Derek Pedro when another poster asked about yields. ""All depends on strain. From 300 grams to three and four pounds on some other strains.",https://twitter.com/Toronto6ix_D/status/1177580075736272896,,1,1,1,0,False,2019-09-27,weekday,2019,"I read this information on the WeedMD shareholders group page on facebook. This reference came from Derek Pedro when another poster asked about yields. ""All depends on strain. From  grams to three and four pounds on some other strains.",-0.34,Negative
2019-09-27T13:46:00.000Z,@Toronto6ix_D,"2/2  I’m sure we will average well above other lps. For certain.
The lower yielders were experimental. 80% of the crop are monster yielders, some of those lots are 4200 plants.",https://twitter.com/Toronto6ix_D/status/1177580280078655494,,0,2,0,0,False,2019-09-27,weekday,2019,"I’m sure we will average well above other lps. For certain.The lower yielders were experimental.  of the crop are monster yielders, some of those lots are  plants.",0.296,Positive
2020-12-14T21:00:00.000Z,@Aurora_MMJ,"Recently Aurora announced a 3-year, $4.2 million joint-funded research project with @GenomeBC and @GenomeCanada that explores genetic disease resistance in #cannabis cultivars, allowing Aurora to make significant progress in the innovation & advancement of cannabis agriculture",https://twitter.com/Aurora_MMJ/status/1338589707366785027,https://pbs.twimg.com/media/EpOgPp1WEAUvHGQ.jpg,97,19,11,10,False,2020-12-14,weekday,2020,"Recently Aurora announced a -year, . million joint-funded research project with  and  that explores genetic disease resistance in cannabis cultivars, allowing Aurora to make significant progress in the innovation  advancement of cannabis agriculture",0.7351,Positive
2020-12-17T15:33:00.000Z,@nag_pab,Anyone know about this company? I think I bought some bootleg shit? I was told it was GG4? I opened it up and found this? @Hippie_of_Love @cannaworldsite @operator55_11 @EmeraldZoo @Cogitatorium,https://twitter.com/nag_pab/status/1339594451920977922,https://pbs.twimg.com/media/EpcyBD4UUAYWup8.jpg,47,39,6,3,False,2020-12-17,weekday,2020,Anyone know about this company I think I bought some bootleg shit I was told it was GG I opened it up and found this,-0.1697,Negative
